yoy_ratio_threshold,level_ratio_threshold,formula_retention,recent_ratio_threshold,required_recent_breaks,selected_sarima_weight,selected_formula_weight,detected_rows,balanced_score,WMAPE,SMAPE,MedianAPE,P90APE,median_stock_WMAPE,DirectionAccuracy
0.2,0.3,0.0,0.2,2,0.1,0.9,532,12.687617436359517,11.10323566264717,19.56737385318557,11.269272139992037,43.5539640428736,14.27199921007186,63.15957708384558
0.2,0.2,0.0,0.2,2,0.1,0.9,496,12.687838859861118,11.103678509650376,19.569243508293354,11.269482480024678,43.61037458998484,14.27199921007186,63.16746976103845
0.1,0.3,0.0,0.2,2,0.1,0.9,362,12.687911672825368,11.103824135578876,19.61870175690933,11.283808966150492,43.846964969336085,14.27199921007186,63.19333513553366
0.2,0.3,0.1,0.2,2,0.1,0.9,532,12.6879404585085,11.103881706945137,19.68410548070465,11.287596041590268,43.71085947214527,14.27199921007186,63.20923946430766
0.1,0.2,0.0,0.2,2,0.1,0.9,353,12.687998298592362,11.103997387112864,19.61777469070514,11.28370511479695,43.82400738163064,14.27199921007186,63.19178216848521
0.1,0.1,0.0,0.2,2,0.1,0.9,332,12.688092695064956,11.104186180058049,19.62167159801993,11.28391281750404,43.866962103411296,14.27199921007186,63.19785728327109
0.2,0.2,0.1,0.2,2,0.1,0.9,496,12.688158927020837,11.104318643969812,19.68710184343739,11.291493052380078,43.77068069408969,14.27199921007186,63.21130221130221
0.1,0.3,0.1,0.2,2,0.1,0.9,362,12.688270265837978,11.104541321604094,19.73301822525786,11.304237099544109,43.96010041676096,14.27199921007186,63.22731180154734
0.1,0.2,0.1,0.2,2,0.1,0.9,353,12.688349561876764,11.104699913681667,19.731975413497253,11.303814422735597,43.96010041676096,14.27199921007186,63.22731180154734
0.2,0.1,0.0,0.2,2,0.1,0.9,456,12.688373322731463,11.104747435391069,19.58982520724429,11.277088723624406,43.697952512573416,14.27199921007186,63.16914909305412
0.1,0.1,0.1,0.2,2,0.1,0.9,332,12.68844463711342,11.104890064154976,19.73608714458781,11.304237099544109,43.97680531016076,14.27199921007186,63.23092413860852
0.2,0.1,0.1,0.2,2,0.1,0.9,456,12.688670349628758,11.105341489185657,19.706781064303875,11.294065068525668,43.861955017924565,14.27199921007186,63.21542618521248
0.05,0.3,0.0,0.2,2,0.1,0.9,261,12.689142478543278,11.106285747014695,19.64389676867213,11.293935353699942,43.93425477234291,14.27199921007186,63.20689824595883
0.05,0.2,0.0,0.2,2,0.1,0.9,259,12.68923700993183,11.1064748097918,19.647845058267663,11.29394520311194,43.95138409527151,14.27199921007186,63.20534551796988
0.05,0.1,0.0,0.2,2,0.1,0.9,255,12.689237511813657,11.106475813555448,19.65023692511398,11.293935353699942,43.97015145765327,14.27199921007186,63.20379286626707
0.05,0.3,0.1,0.2,2,0.1,0.9,261,12.689480785436364,11.106962360800864,19.760032302147827,11.311357287666548,44.074603783883695,14.27199921007186,63.23258611799945
0.05,0.2,0.1,0.2,2,0.1,0.9,259,12.689565861004374,11.107132511936886,19.763084479821025,11.311357287666548,44.07852475782977,14.27199921007186,63.23258611799945
0.05,0.1,0.1,0.2,2,0.1,0.9,255,12.689566310181505,11.107133410291146,19.7653112183448,11.311061215171671,44.08108736456024,14.27199921007186,63.23348882887306
0.2,0.3,0.25,0.2,2,0.1,0.9,532,12.689639730841588,11.107280251611312,19.777739475259988,11.311357287666548,44.06497806568324,14.27199921007186,63.21023424839169
0.2,0.2,0.25,0.2,2,0.1,0.9,496,12.689837478977047,11.107675747882237,19.77756295037071,11.311357287666548,44.07146725101714,14.27199921007186,63.21204085641328
0.1,0.3,0.25,0.2,2,0.1,0.9,362,12.68991137264986,11.10782353522786,19.80923787428263,11.315750681550831,44.13543034434158,14.27199921007186,63.226630007855455
0.1,0.2,0.25,0.2,2,0.1,0.9,353,12.68997967571426,11.107960141356656,19.808295223176348,11.315055406314336,44.129063323079606,14.27199921007186,63.226630007855455
0.1,0.1,0.25,0.2,2,0.1,0.9,332,12.690061158716034,11.108123107360203,19.80927109772141,11.317063816758004,44.13963803660719,14.27199921007186,63.22843536747017
0.2,0.1,0.25,0.2,2,0.1,0.9,456,12.690240723621612,11.108482237171366,19.787884031074128,11.312422664682972,44.08365468612397,14.27199921007186,63.21655660029951
0.05,0.3,0.25,0.2,2,0.1,0.9,261,12.690430738248969,11.108862266426073,19.826025904587357,11.320691604460224,44.23343875627951,14.27199921007186,63.23720701926617
0.05,0.2,0.25,0.2,2,0.1,0.9,259,12.690501633060812,11.109004056049764,19.828094865004022,11.320691604460224,44.23343875627951,14.27199921007186,63.23720701926617
0.05,0.1,0.25,0.2,2,0.1,0.9,255,12.690502003083804,11.109004796095746,19.83016855698525,11.320922160541658,44.23482021170145,14.27199921007186,63.23810926225887
