date,stock_id,EPS,statement_available_date
2019-03-31,1101,0.77,2019-05-15
2019-06-30,1101,1.41,2019-08-14
2019-09-30,1101,1.2,2019-11-14
2019-12-31,1101,1.19,2020-03-31
2020-03-31,1101,0.55,2020-05-15
2020-06-30,1101,1.39,2020-08-14
2020-09-30,1101,1.3,2020-11-14
2020-12-31,1101,1.17,2021-03-31
2021-03-31,1101,0.57,2021-05-15
2021-06-30,1101,1.24,2021-08-14
2021-09-30,1101,0.59,2021-11-14
2021-12-31,1101,0.89,2022-03-31
2022-03-31,1101,0.2,2022-05-15
2022-06-30,1101,-0.02,2022-08-14
2022-09-30,1101,0.22,2022-11-14
2022-12-31,1101,0.36,2023-03-31
2023-03-31,1101,0.2,2023-05-15
2023-06-30,1101,0.45,2023-08-14
2023-09-30,1101,0.17,2023-11-14
2023-12-31,1101,0.24,2024-03-31
2024-03-31,1101,0.26,2024-05-15
2024-06-30,1101,0.25,2024-08-14
2024-09-30,1101,0.42,2024-11-14
2024-12-31,1101,0.52,2025-03-31
2025-03-31,1101,0.07,2025-05-15
2025-06-30,1101,0.0,2025-08-14
2025-09-30,1101,-1.36,2025-11-14
2025-12-31,1101,-0.32,2026-03-31
2026-03-31,1101,0.1,2026-05-15
2026-06-30,1101,0.29,2026-08-14
2019-03-31,1102,0.93,2019-05-15
2019-06-30,1102,1.97,2019-08-14
2019-09-30,1102,1.38,2019-11-14
2019-12-31,1102,1.27,2020-03-31
2020-03-31,1102,0.24,2020-05-15
2020-06-30,1102,1.49,2020-08-14
2020-09-30,1102,1.57,2020-11-14
2020-12-31,1102,1.4,2021-03-31
2021-03-31,1102,1.02,2021-05-15
2021-06-30,1102,1.44,2021-08-14
2021-09-30,1102,1.04,2021-11-14
2021-12-31,1102,1.2,2022-03-31
2022-03-31,1102,0.76,2022-05-15
2022-06-30,1102,1.35,2022-08-14
2022-09-30,1102,1.33,2022-11-14
2022-12-31,1102,0.19,2023-03-31
2023-03-31,1102,0.81,2023-05-15
2023-06-30,1102,1.26,2023-08-14
2023-09-30,1102,0.82,2023-11-14
2023-12-31,1102,0.4,2024-03-31
2024-03-31,1102,0.89,2024-05-15
2024-06-30,1102,1.27,2024-08-14
2024-09-30,1102,0.57,2024-11-14
2024-12-31,1102,1.14,2025-03-31
2025-03-31,1102,0.41,2025-05-15
2025-06-30,1102,0.88,2025-08-14
2025-09-30,1102,1.13,2025-11-14
2025-12-31,1102,0.58,2026-03-31
2026-03-31,1102,0.56,2026-05-15
2026-06-30,1102,1.57,2026-08-14
2019-03-31,1103,0.2,2019-05-15
2019-06-30,1103,0.94,2019-08-14
2019-09-30,1103,1.18,2019-11-14
2019-12-31,1103,-0.29,2020-03-31
2020-03-31,1103,-0.33,2020-05-15
2020-06-30,1103,0.22,2020-08-14
2020-09-30,1103,0.93,2020-11-14
2020-12-31,1103,1.92,2021-03-31
2021-03-31,1103,-0.2,2021-05-15
2021-06-30,1103,-0.25,2021-08-14
2021-09-30,1103,1.37,2021-11-14
2021-12-31,1103,0.09,2022-03-31
2022-03-31,1103,-0.12,2022-05-15
2022-06-30,1103,-0.62,2022-08-14
2022-09-30,1103,0.41,2022-11-14
2022-12-31,1103,0.05,2023-03-31
2023-03-31,1103,0.03,2023-05-15
2023-06-30,1103,0.0,2023-08-14
2023-09-30,1103,0.18,2023-11-14
2023-12-31,1103,-0.09,2024-03-31
2024-03-31,1103,-0.06,2024-05-15
2024-06-30,1103,0.11,2024-08-14
2024-09-30,1103,0.74,2024-11-14
2024-12-31,1103,-0.31,2025-03-31
2025-03-31,1103,0.13,2025-05-15
2025-06-30,1103,-0.44,2025-08-14
2025-09-30,1103,1.04,2025-11-14
2025-12-31,1103,0.11,2026-03-31
2026-03-31,1103,0.08,2026-05-15
2026-06-30,1103,0.19,2026-08-14
2019-03-31,1104,0.24,2019-05-15
2019-06-30,1104,0.46,2019-08-14
2019-09-30,1104,0.37,2019-11-14
2019-12-31,1104,0.67,2020-03-31
2020-03-31,1104,0.07,2020-05-15
2020-06-30,1104,0.66,2020-08-14
2020-09-30,1104,0.6,2020-11-14
2020-12-31,1104,0.58,2021-03-31
2021-03-31,1104,0.35,2021-05-15
2021-06-30,1104,0.46,2021-08-14
2021-09-30,1104,0.3,2021-11-14
2021-12-31,1104,0.55,2022-03-31
2022-03-31,1104,0.82,2022-05-15
2022-06-30,1104,0.51,2022-08-14
2022-09-30,1104,0.87,2022-11-14
2022-12-31,1104,0.92,2023-03-31
2023-03-31,1104,0.42,2023-05-15
2023-06-30,1104,0.62,2023-08-14
2023-09-30,1104,1.42,2023-11-14
2023-12-31,1104,0.68,2024-03-31
2024-03-31,1104,0.37,2024-05-15
2024-06-30,1104,0.56,2024-08-14
2024-09-30,1104,0.69,2024-11-14
2024-12-31,1104,0.55,2025-03-31
