date,stock_id,country,revenue,revenue_month,revenue_year,revenue_available_date
2025-01-01,1101,Taiwan,12213350000,1,2025,2025-02-10
2025-02-01,1101,Taiwan,9123490000,2,2025,2025-03-10
2025-03-01,1101,Taiwan,13635386000,3,2025,2025-04-10
2025-04-01,1101,Taiwan,12681318000,4,2025,2025-05-10
2025-05-01,1101,Taiwan,12619495000,5,2025,2025-06-10
2025-06-01,1101,Taiwan,10107877000,6,2025,2025-07-10
2025-07-01,1101,Taiwan,13535929000,7,2025,2025-08-10
2025-08-01,1101,Taiwan,12214776000,8,2025,2025-09-10
2025-09-01,1101,Taiwan,13306676000,9,2025,2025-10-10
2025-10-01,1101,Taiwan,13882248000,10,2025,2025-11-10
2025-11-01,1101,Taiwan,13121753000,11,2025,2025-12-10
2025-12-01,1101,Taiwan,14219975000,12,2025,2026-01-10
2025-01-01,1102,Taiwan,5877674000,1,2025,2025-02-10
2025-02-01,1102,Taiwan,4184371000,2,2025,2025-03-10
2025-03-01,1102,Taiwan,6532662000,3,2025,2025-04-10
2025-04-01,1102,Taiwan,6276269000,4,2025,2025-05-10
2025-05-01,1102,Taiwan,6370169000,5,2025,2025-06-10
2025-06-01,1102,Taiwan,6019299000,6,2025,2025-07-10
2025-07-01,1102,Taiwan,5836590000,7,2025,2025-08-10
2025-08-01,1102,Taiwan,5663764000,8,2025,2025-09-10
2025-09-01,1102,Taiwan,6388217000,9,2025,2025-10-10
2025-10-01,1102,Taiwan,5833267000,10,2025,2025-11-10
2025-11-01,1102,Taiwan,5885302000,11,2025,2025-12-10
2025-12-01,1102,Taiwan,6172608000,12,2025,2026-01-10
2025-01-01,1103,Taiwan,268003000,1,2025,2025-02-10
2025-02-01,1103,Taiwan,218169000,2,2025,2025-03-10
2025-03-01,1103,Taiwan,266282000,3,2025,2025-04-10
2025-04-01,1103,Taiwan,271595000,4,2025,2025-05-10
2025-05-01,1103,Taiwan,249182000,5,2025,2025-06-10
2025-06-01,1103,Taiwan,247791000,6,2025,2025-07-10
2025-07-01,1103,Taiwan,251867000,7,2025,2025-08-10
2025-08-01,1103,Taiwan,236882000,8,2025,2025-09-10
2025-09-01,1103,Taiwan,234910000,9,2025,2025-10-10
2025-10-01,1103,Taiwan,246707000,10,2025,2025-11-10
2025-11-01,1103,Taiwan,249102000,11,2025,2025-12-10
2025-12-01,1103,Taiwan,274867000,12,2025,2026-01-10
2025-01-01,1104,Taiwan,687804000,1,2025,2025-02-10
2025-02-01,1104,Taiwan,538636000,2,2025,2025-03-10
2025-03-01,1104,Taiwan,702215000,3,2025,2025-04-10
2025-04-01,1104,Taiwan,698668000,4,2025,2025-05-10
2025-05-01,1104,Taiwan,643106000,5,2025,2025-06-10
2025-06-01,1104,Taiwan,627049000,6,2025,2025-07-10
2025-07-01,1104,Taiwan,575078000,7,2025,2025-08-10
2025-08-01,1104,Taiwan,603054000,8,2025,2025-09-10
2025-09-01,1104,Taiwan,707407000,9,2025,2025-10-10
2025-10-01,1104,Taiwan,723076000,10,2025,2025-11-10
2025-11-01,1104,Taiwan,636793000,11,2025,2025-12-10
2025-12-01,1104,Taiwan,779128000,12,2025,2026-01-10
2025-01-01,1108,Taiwan,448229000,1,2025,2025-02-10
