target_month,model,observations,stock_count,RMSE,MAE,MAPE,MedianAPE,WMAPE,SMAPE,MASE,Bias,UnderestimateRate,DirectionAccuracy
1,沿用上月營收,1812,1812,3051968.554287276,365048.8261589404,208.0551726614467,17.25096525096525,17.905123279918183,27.706839572340204,1.179506648712306,194261.54801324505,33.554083885209714,0.27593818984547464
1,去年同月營收,1812,1812,2693208.455146472,320326.97185430466,138.6484152852801,16.37344417362602,15.711580232385137,27.299965570211544,0.9110499799487964,-138551.91445916114,46.7439293598234,70.41942604856513
1,營收公式（未做殘差校正）,1812,1812,2065401.9744592265,265665.11763965857,61.69199193473892,14.713506345404493,13.03049439321024,24.197341186321015,0.8575936037637817,127984.28057804237,31.5121412803532,67.60485651214128
1,營收公式（含殘差校正）,1812,1812,2065401.9744592265,265665.11763965857,61.69199193473892,14.713506345404493,13.03049439321024,24.197341186321015,0.8575936037637817,127984.28057804237,31.5121412803532,67.60485651214128
2,沿用上月營收,1813,1813,1323013.6732796517,228019.95146166574,32.81359368500066,13.31402210063298,11.513773347725508,21.575497160476203,0.7833376367715899,57329.81798124655,42.41588527302813,0.441257584114727
2,去年同月營收,1813,1813,5469531.554772273,486579.85162713734,74.62798274002043,22.108461898083217,24.569648801748055,33.623858952108094,1.0635327734792297,-431977.0750137893,74.3519029233315,63.37562051847766
2,營收公式（未做殘差校正）,1813,1813,2710792.632315866,242407.45440165963,29.80943328291417,13.296811592848174,12.240264371115945,21.703665223443064,0.6957302741000667,-115414.43521067846,59.40430226144512,63.37562051847766
2,營收公式（含殘差校正）,1813,1813,2710792.632315866,242407.45440165963,29.80943328291417,13.296811592848174,12.240264371115945,21.703665223443064,0.6957302741000667,-115414.43521067846,59.40430226144512,63.37562051847766
3,沿用上月營收,1818,1818,2272574.3421994355,318216.300880088,202.10310415595657,14.890011297901996,14.140646843046994,24.56594578506467,0.9044189211044841,-274812.62321232125,80.03300330033002,0.27502750275027504
3,去年同月營收,1818,1818,4611405.149186779,491300.001650165,180.39972125990732,14.872715142840654,21.832004828505966,26.252637645541,0.9540891417310553,-361740.197469747,64.3014301430143,65.18151815181518
3,營收公式（未做殘差校正）,1818,1818,1975276.9494299812,261733.38582139197,194.63884911272223,10.999266114998305,11.630703284838724,20.904736006873108,0.7100872200004646,-126363.97857017188,67.76677667766776,75.24752475247524
3,營收公式（含殘差校正）,1818,1818,1975276.9494299812,261733.38582139197,194.63884911272223,10.999266114998305,11.630703284838724,20.904736006873108,0.7100872200004646,-126363.97857017188,67.76677667766776,75.24752475247524
4,沿用上月營收,1825,1825,3095752.5465024635,320933.52,77.703925492592,9.70328626255195,14.502053472195723,18.295925350619445,0.6502378611085587,13944.92602739726,44.38356164383562,0.32876712328767127
4,去年同月營收,1825,1825,4786623.3695867155,473048.4690410959,131.88591550362216,14.164110873998043,21.375686132674126,25.9918102639853,0.9134480125397159,-322420.8602739726,60.76712328767123,60.71232876712329
4,營收公式（未做殘差校正）,1825,1825,1970536.5138215208,239541.75943002562,38.47253604272595,9.269926272535727,10.824196251230084,18.62738891945211,0.6099287502118983,6332.959750376515,43.45205479452055,63.013698630136986
4,營收公式（含殘差校正）,1825,1825,1970536.5138215208,239541.75943002562,38.47253604272595,9.269926272535727,10.824196251230084,18.62738891945211,0.6099287502118983,6332.959750376515,43.45205479452055,63.013698630136986
5,沿用上月營收,1824,1824,2351059.0983520877,248273.74780701756,82.52594036649586,9.445015416238437,11.422552431341462,17.544356893713026,0.6169271142889552,36989.288377192985,41.00877192982456,0.2741228070175438
5,去年同月營收,1824,1824,4534703.058326323,462245.07127192983,1224.8218984280393,15.461157295828345,21.266922537605275,26.807558101189997,0.9431891460672843,-212598.99013157896,48.62938596491228,59.48464912280702
5,營收公式（未做殘差校正）,1824,1824,2542664.756467424,292890.85613745387,200.21773841001047,12.04366372153309,13.475291650614027,20.147889485805507,0.7027362882310565,93222.5959701768,33.05921052631579,50.6578947368421
5,營收公式（含殘差校正）,1824,1824,2542664.756467424,292890.85613745387,200.21773841001047,12.04366372153309,13.475291650614027,20.147889485805507,0.7027362882310565,93222.5959701768,33.05921052631579,50.6578947368421
6,沿用上月營收,1827,1827,2539825.784884169,282961.3738368911,54.779254542665534,9.504866414167843,13.204491799684218,18.370015592263094,0.7101159464015763,17099.394636015324,50.35577449370553,0.21893814997263275
6,去年同月營收,1827,1827,4166547.196743037,455531.64805692394,109.569257812194,15.57917530765297,21.25754420011964,27.375531784816925,1.031768043338692,-213437.3251231527,53.03776683087028,60.8648056923919
6,營收公式（未做殘差校正）,1827,1827,2362945.8055596394,264248.0743307982,28.869175105991847,10.2470373872559,12.33122911183879,19.23142150019638,0.7008969898431214,39372.69731441096,46.08648056923919,59.82484948002189
6,營收公式（含殘差校正）,1827,1827,2362945.8055596394,264248.0743307982,28.869175105991847,10.2470373872559,12.33122911183879,19.23142150019638,0.7008969898431214,39372.69731441096,46.08648056923919,59.82484948002189
7,沿用上月營收,1832,1832,2588710.82028264,270086.0338427948,71.16673841284064,8.88807229289803,12.46683000646018,17.696121070268088,0.6601115338325485,-29070.80021834061,49.181222707423586,0.32751091703056767
7,去年同月營收,1832,1832,3593070.3239164716,411220.06113537116,481.8552177737115,15.234384946400837,18.981398351033622,27.164968985414443,0.9511397708718986,-108853.35152838429,46.6703056768559,62.55458515283843
7,營收公式（未做殘差校正）,1832,1832,1387980.431913502,201783.65600407874,96.30387826625609,9.428475251306532,9.314078561163624,18.601704313477736,0.6117694389066353,31662.03583771253,43.340611353711786,63.53711790393013
7,營收公式（含殘差校正）,1832,1832,1387980.431913502,201783.65600407874,96.30387826625609,9.428475251306532,9.314078561163624,18.601704313477736,0.6117694389066353,31662.03583771253,43.340611353711786,63.53711790393013
8,沿用上月營收,1835,1835,893304.7359927446,156771.8485013624,30.222545950276725,8.052950019320427,7.173586453384686,16.580668414203572,0.5607119773063294,-20137.722070844688,49.3732970027248,0.2724795640326975
8,去年同月營收,1835,1835,3689315.6982603297,428765.0021798365,57.989349936019075,16.233295531636053,19.61948424238935,27.63005934960531,0.9831336781208051,-139646.68283378746,43.32425068119891,57.602179836512256
8,營收公式（未做殘差校正）,1835,1835,1335753.1871632491,185904.36175243958,26.391531416902748,8.918309201762252,8.506635750236988,18.41800229090468,0.6092830935937912,-4032.8751236987555,44.52316076294278,57.9291553133515
8,營收公式（含殘差校正）,1835,1835,1335753.1871632491,185904.36175243958,26.391531416902748,8.918309201762252,8.506635750236988,18.41800229090468,0.6092830935937912,-4032.8751236987555,44.52316076294278,57.9291553133515
9,沿用上月營收,1842,1842,5716634.5513373455,388119.9831704669,55.9156637706138,9.494503778042446,15.714895531492196,19.732347392464355,0.7039629764653283,-291092.6487513572,61.07491856677525,0.32573289902280134
9,去年同月營收,1842,1842,4505315.460681523,492450.01954397396,352.6622250532917,15.11403501247995,19.939196504128127,27.139225439389886,1.0476583433109348,-298718.19978284475,55.048859934853425,60.80347448425625
9,營收公式（未做殘差校正）,1842,1842,3601700.3958169306,297320.66833090485,90.26246538925633,9.692263281904538,12.038450594597322,19.83140424565256,0.6887860771920694,-234783.17047694826,60.640608034744844,61.020629750271446
