industry_category,stock_count,prediction_count,RMSE,MAE,MAPE,MedianAPE,WMAPE,SMAPE,Bias,UnderestimateRate,DirectionAccuracy
貿易百貨,17,204,237631.648706017,76835.60953709576,14.165586601829194,8.240515764381403,3.4207518715507654,13.838267805093146,13549.318391895486,46.07843137254902,74.01960784313727
數位雲端,8,96,110658.16153206107,55944.74148811414,17.509425445073347,7.973737802903294,3.910978444537046,13.806528620390882,14516.322185779994,54.166666666666664,60.416666666666664
食品工業,29,348,473154.0547412748,131437.3099428262,12.079197751317515,6.792174639316942,4.5146346248046365,12.259585145835937,22088.451767678747,43.96551724137931,73.27586206896551
居家生活類,22,264,81571.49650238156,37820.48062715194,25.360476590872615,9.788901796363566,5.599426182066822,20.913336930753815,-2650.4749245919884,52.65151515151515,65.9090909090909
玻璃陶瓷,5,60,116942.63591442682,61146.179100372065,9.753403845444158,6.657577946269893,6.724971750736708,9.492946324265018,20047.5082257066,31.666666666666664,75.0
電子工業,227,2723,4374250.768612699,468416.3799439267,18.182330010101545,9.214399083868766,7.041322659140019,15.887138311359461,-139169.77580128523,50.128534704370175,64.59786999632759
航運業,33,396,669907.2713401966,264749.93493525166,9.77115263264904,5.820234316235073,7.107476981753099,9.666620666406638,22551.719010255427,47.474747474747474,67.42424242424242
塑膠工業,25,300,585345.3393798786,237316.37066495782,18.46171657123014,9.70189345715403,7.511530826083524,14.611629472587406,63661.65903620012,41.333333333333336,63.33333333333333
數位雲端類,20,240,53967.038732394496,26796.45767131686,12.979193441637834,8.445949162858792,7.864977180010014,12.854462969320174,-10581.148609265483,54.166666666666664,64.16666666666667
造紙工業,7,84,307097.32423514815,182886.50808525842,11.27538154787917,6.912414005401549,7.9181769456853095,10.835668159229767,73533.30316097414,40.476190476190474,67.85714285714286
居家生活,11,132,83156.13952502572,56336.5268695139,11.42035543634815,8.03967049119053,7.928791067552302,10.89083233053811,13693.679609668246,41.66666666666667,74.24242424242425
鋼鐵工業,48,576,279093.07804500905,126643.49654718082,14.46326819763325,8.981343112451531,7.965166750075213,13.852425781549826,32779.81333397559,41.14583333333333,61.458333333333336
運動休閒,17,204,410323.78105516866,248264.06850169142,14.612661649305373,8.658530074636367,7.990978936064841,15.929469935777691,37907.15347948855,49.01960784313725,62.254901960784316
橡膠工業,11,132,263010.1645464571,127272.59933312779,15.829223018209198,9.006147661478611,8.27116530284263,13.965930985587075,58346.8361298329,40.15151515151515,62.121212121212125
油電燃氣業,12,144,1520969.71576671,429152.7933984671,14.149895569269066,6.513693182785602,8.82113301666725,12.73742424737486,-2218.9772486659535,53.47222222222222,68.05555555555556
電子零組件業,191,2292,383429.1499702718,92343.53287698125,14.52219823341158,9.046097311774407,8.827224232651774,13.919396008869883,-5656.159755312787,48.69109947643979,63.43804537521815
半導體業,120,1439,165141.72735815123,59281.932228850914,16.22100467814434,9.391761677426613,9.854755920417457,15.824233176727889,-11022.591904712664,53.85684503127172,59.20778318276581
紡織纖維,51,612,290389.79280666565,98498.21538087273,36.06405719205215,12.469514187030487,10.427844579547484,21.280215425688432,20586.35389981824,46.568627450980394,66.83006535947712
其他,91,1092,203647.18103435976,63122.05776934409,17.06231051605721,9.28782571351149,10.580697719195921,16.87329817222617,3374.8723444281677,48.62637362637363,65.2014652014652
化學生技醫療,30,360,167305.7818529623,91911.92007481007,14.154889596736808,8.634393175697861,10.894716871701391,15.03470746244794,27912.975189079483,43.333333333333336,67.77777777777779
汽車工業,41,490,454294.2194999829,161606.4008717955,21.00989773297186,10.855347606111506,11.284702331162048,16.924568753062847,48519.30642123052,45.51020408163266,60.40816326530612
電器電纜,16,192,479996.30285082187,171197.9976818871,15.569216598592616,10.550404015566977,11.493067485995411,14.68508080134941,29110.65464030694,48.95833333333333,71.35416666666666
上櫃ETF,1,12,44208.203885905736,33344.812196434475,13.118471741804171,10.110152640631517,12.026976429747073,12.103171373781864,15215.214936246251,58.333333333333336,83.33333333333334
電機機械,98,1175,124515.56337135476,56557.346111644736,18.84890353462757,12.61872113855346,12.356068659982194,17.44312963442172,2736.693434926852,48.93617021276596,64.17021276595744
通信網路業,51,612,182773.06873020867,57241.758264216835,29.1540310050051,13.958903433318017,12.82744859270523,23.73555828979395,-3129.259758001773,52.77777777777778,61.274509803921575
其他電子類,46,552,112574.08987840553,48757.46068602386,25.160874923402233,13.377643451299715,12.900655799795762,22.479716011913087,-5006.491948099976,51.26811594202898,59.96376811594203
存託憑證,1,12,1953447.734580502,1419674.7629088622,12.283630304666593,10.42776059804829,12.93798773008397,12.324823798807582,-34927.66325764987,41.66666666666667,66.66666666666666
電腦及週邊設備業,99,1188,5703909.608495411,1132018.5569456033,17.118094234923316,11.782260415049597,13.038836696740827,16.511036639520192,-258078.91961732722,51.43097643097643,66.32996632996633
文化創意業,26,312,67137.03936648967,27712.626837486103,62.28517982204751,14.504577147464781,13.045751208699869,31.96022816707047,-60.327497263631535,49.03846153846153,62.82051282051282
觀光餐旅,47,564,115206.59672064769,43104.84078690818,16.9660654932859,11.563545791157665,13.104032271384286,16.493606341877083,3130.815794670605,51.95035460992907,62.76595744680851
電子通路業,33,396,4200117.515749111,1234909.5919083774,13.493808785316528,9.638071432694897,13.91331670449302,13.690668704356396,63952.30973258762,50.505050505050505,63.38383838383839
生技醫療業,140,1680,70186.51093703207,24988.688343577793,52.64093199973795,12.266960010149566,14.211947436301939,27.433572504038032,1536.5746771609342,45.714285714285715,65.41666666666667
ETF,7,84,90050.32161388073,53983.77797990853,17.024791382319005,14.458729129606542,14.28920053174672,16.22447587891869,5303.680944690293,47.61904761904761,66.66666666666666
運動休閒類,8,96,76730.0557734468,44148.09316919758,20.02660820427522,14.698393502729946,14.514596180264,18.868681555016774,-1858.3112388320035,46.875,67.70833333333334
水泥工業,7,84,1393706.1468768155,429584.1866097593,10.28879209657821,7.674249513405646,14.766347445707595,9.75945350286766,256739.36265118452,40.476190476190474,69.04761904761905
化學工業,17,204,55770.49583951604,32742.216894317007,20.35927883548104,14.197934340628343,15.268960451742844,20.665883141990506,-4496.459638367061,50.0,60.29411764705882
金融業,2,24,47750.26356368782,30990.79528161617,12.794867271855656,9.689383307345306,16.36301947686999,12.459807501712076,2338.4396147598795,50.0,75.0
農業科技業,4,48,25167.482269068187,16120.904387673514,22.320006474061792,14.589945019421096,16.43244645533494,22.133648318896114,-1030.3025128869833,54.166666666666664,56.25
金融保險,28,336,1873699.837555897,690301.7294068598,19.6929429007231,10.100481543822609,17.577839458631907,16.1558222666318,-262588.6782801203,54.46428571428571,64.88095238095238
光電業,59,707,278860.1702281495,79588.09325939186,25.207118579195704,13.693406908610825,17.93882103930178,22.201820381925806,-21118.04041917629,49.64639321074964,60.67892503536068
其他電子業,9,108,1217179.153191028,403328.3861216816,15.193404006014266,8.822377882873086,18.0307174677883,15.903295253922673,149629.59697532168,44.44444444444444,62.96296296296296
資訊服務業,31,372,113011.12036012247,43812.7730376204,32.06195619987061,13.425416794967667,22.044155975222118,23.945664044841163,-1863.8898727894727,51.075268817204304,72.31182795698925
綠能環保類,16,192,58785.371839048414,29924.43559739245,60.0179350155374,24.588459866377093,22.866058488320107,40.50302343578977,5252.972975148247,47.91666666666667,58.333333333333336
綠能環保,21,252,520262.471225554,166245.60528820913,35.14026246781963,14.960321785459719,40.80226426620167,28.42163808791153,16076.134960543115,52.38095238095239,57.14285714285714
建材營造,84,1008,1231284.4811367462,338706.4511913185,78231.98289374453,47.98894626980858,59.34988356417546,70.94358595514672,-51217.69569487394,45.03968253968254,60.912698412698404
