target_month,stock_count,prediction_count,RMSE,MAE,MAPE,MedianAPE,WMAPE,SMAPE,Bias,UnderestimateRate,DirectionAccuracy
1,1862,1862,1744152.2236058854,228274.34098243914,52.13723917373817,11.914916831561726,11.72406365514098,21.68621638936208,46806.694444264875,45.757250268528466,73.4156820622986
2,1866,1866,3645960.5622409894,278242.7662111585,40.75800971638599,15.260610211415425,14.75789528485913,24.25248856146733,-206990.18179325803,70.20364415862808,62.86173633440515
3,1867,1867,1427407.9250255388,217029.27993767464,324.2126609149262,11.455510290642412,10.041805583422352,20.726001217965486,-24281.62290232879,43.59935725763256,76.16497054097483
4,1867,1867,2317493.837010175,231299.73070432924,30.090586740052622,9.783224160002826,10.693609693348579,18.7709839920271,-78366.94623967611,52.32994108194965,63.04231387252276
5,1867,1867,2167760.1822922165,237822.7815778058,64.44576524192146,10.919881106669765,11.221333550166674,20.079453495603012,38341.9083562122,35.67220139260846,55.329405463310124
6,1867,1867,1344534.3834124212,215250.56967833932,29.21256771476923,10.480554224164925,10.23338577136214,20.34869436382484,53264.40450418136,45.74183181574718,59.66791644349223
7,1867,1867,1631572.0034981363,199825.95050983492,34.36079615649306,9.692832014818512,9.372411572128476,18.504812247628692,71426.2551675934,41.403320835565076,64.0599892876272
8,1867,1867,1846967.3626892525,237505.25037953234,33.4294154489212,10.380444611896392,11.035516446567494,19.415557528123788,24996.373360398404,39.85002678093198,58.168184252812
9,1867,1867,1162390.4886597437,195922.59899763204,36.012755688128706,9.58280297099801,8.03133969650864,19.879397984109826,-77296.29404496239,56.56132833422603,63.899303695768616
10,1867,1867,1374355.0311538328,186689.93826913394,337.57261537262747,9.744453135187372,7.736567490299026,19.076958440549067,21560.77490375347,48.58061060524906,64.542046063203
11,1867,1867,2527619.4439145494,237824.61589279372,228.06170291178307,10.19023391439311,9.758620798092542,19.09706799682673,-85583.43673625572,46.70594536689877,61.00696304231388
12,1867,1867,2988782.7656965097,309321.5908990582,40952.0988027815,10.781740890461386,11.987557644758231,21.79432692205851,-139649.6341390026,59.02517407605785,66.14890198178897
