stock_id,stock_name,industry_category,actual_months,WMAPE_numeric_valid,SMAPE_numeric_valid,MedianAPE_numeric_valid,MAPE_numeric_valid,WMAPE,SMAPE,MedianAPE,MAPE,RMSE,MAE,Bias,UnderestimateRate,DirectionAccuracy,sarima_months,fallback_months,selected_order,selected_seasonal_order,best_aic,runtime_seconds
3628,盈正,其他電子類,12,15.001911031865392,13.988333198586627,11.018416924577759,13.830957894165651,15.002,13.988,11.018,13.831,61130.934,41946.393,-7006.097,50.0,58.333,12,0,"(1, 1, 1)","(0, 1, 1, 12)",0.6131043428425276,1.3470221001189202
3211,順達,電腦及週邊設備業,12,15.045094819089517,16.063395529246826,13.4833935827603,15.570415067392032,15.045,16.063,13.483,15.57,180303.822,165727.8,-101861.85,83.333,75.0,12,0,"(1, 1, 1)","(0, 1, 1, 12)",-12.603191844363575,0.9971102999988944
6881,潤德,其他,12,15.05876433604314,16.844226835547392,14.231411427512652,15.079314900592111,15.059,16.844,14.231,15.079,35934.716,30927.0,-29713.5,91.667,0.0,0,12,,,,0.0217438000254333
5906,台南-KY,貿易百貨,12,15.073932588075042,14.36993524607075,16.109459293782834,14.641261984991457,15.074,14.37,16.109,14.641,27159.658,21125.174,457.138,50.0,75.0,12,0,"(1, 1, 1)","(0, 1, 1, 12)",21.64560965040078,0.8504392998293042
2382,廣達,電腦及週邊設備業,12,15.101816630815676,15.129902548491103,9.441718175161734,14.773060748053846,15.102,15.13,9.442,14.773,35077766.644,26726307.174,-7213493.672,66.667,66.667,12,0,"(1, 1, 1)","(0, 1, 0, 12)",-43.76714533742963,0.6108176000416279
1786,科妍,生技醫療業,12,15.115231065279113,14.049982837895488,12.378926154090111,15.166516272818203,15.115,14.05,12.379,15.167,14182.302,11167.914,6574.061,25.0,91.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",7.237658281687398,0.8656850999686867
6907,雅特力-KY,半導體業,2,15.117901916285392,16.354100340683072,15.117901916285392,15.117901916285392,15.118,16.354,15.118,15.118,24914.0,24914.0,-24914.0,100.0,0.0,0,12,,,,0.0114438000600785
2073,雄順,鋼鐵工業,12,15.127259161744952,14.73583245740546,14.892621759745717,15.184123868165797,15.127,14.736,14.893,15.184,9031.421,7028.667,2860.667,33.333,75.0,0,12,,,,0.022291800007224
6538,倉和,電子零組件業,12,15.132075500732899,15.425074442061437,14.960612590281372,15.042144104710328,15.132,15.425,14.961,15.042,22049.859,18372.433,592.963,41.667,66.667,12,0,"(1, 1, 0)","(0, 1, 0, 12)",-41.24306644645328,0.368025500094518
6890,來億-KY,運動休閒,12,15.159504214949798,15.169658200703712,6.282214207211983,15.326998132472772,15.16,15.17,6.282,15.327,708814.452,500196.167,1056.833,50.0,41.667,0,12,,,,0.0173986000008881
3149,正達,電子工業,12,15.165821823044102,15.319384989741417,14.838929760111819,14.923373230322559,15.166,15.319,14.839,14.923,33968.092,28859.801,-11008.934,58.333,58.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-40.11700924385658,0.8298486000858247
5438,東友,電腦及週邊設備業,12,15.167531302333643,15.356852890496638,5.874710738487525,16.790631383771192,15.168,15.357,5.875,16.791,25304.558,16401.031,3103.574,50.0,66.667,12,0,"(1, 1, 1)","(0, 1, 1, 12)",-0.395533713356615,0.988291900139302
3679,新至陞,電子零組件業,12,15.182800204957154,15.617524500057787,14.434413434284615,15.386271800163584,15.183,15.618,14.434,15.386,68756.677,56571.05,12466.926,33.333,75.0,12,0,"(1, 1, 1)","(0, 1, 1, 12)",14.517446731277232,1.0854070000350475
1583,程泰,電機機械,12,15.18845294207449,14.977372220614962,12.9091498398443,15.619989713043992,15.188,14.977,12.909,15.62,57707.205,49199.335,3683.687,58.333,75.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-30.520490185372974,0.7214029999449849
3131,弘塑,半導體業,12,15.20430927191318,14.256586388842035,8.342585719177844,12.809600166117367,15.204,14.257,8.343,12.81,143577.828,82540.331,-50595.016,58.333,58.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-33.88968995977589,0.8411969998851418
1416,廣豐,其他,12,15.207262850325446,15.053650936342997,14.819322418907815,14.787970707418896,15.207,15.054,14.819,14.788,5359.554,4564.092,-723.624,50.0,33.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",22.55181530654432,0.97725349990651
3207,耀勝,電子零組件業,12,15.213072585413942,14.567034814724906,10.2535991168614,15.211035781941245,15.213,14.567,10.254,15.211,34397.655,24356.04,-2233.319,41.667,66.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-11.721278294517976,0.803127400111407
1517,利奇,電機機械,12,15.22294489067666,15.250401427122576,11.376161084522563,15.797663565168287,15.223,15.25,11.376,15.798,32807.173,25641.414,4333.615,50.0,66.667,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-1.883432032816371,0.5493844000156969
4736,泰博,生技醫療業,12,15.24312204176499,15.049014762527147,16.470280217826275,15.3170298097446,15.243,15.049,16.47,15.317,56980.761,53403.071,5316.41,50.0,50.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",28.71389959792821,0.504113599890843
2033,佳大,鋼鐵工業,12,15.243486871984025,15.811430761514536,12.646429201082421,15.304580618423788,15.243,15.811,12.646,15.305,10933.197,8926.776,-2955.37,75.0,50.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-23.00776664119034,0.6838004998862743
3548,兆利,電子零組件業,12,15.278463269980106,15.042744491398121,15.060692083584748,15.675907525108023,15.278,15.043,15.061,15.676,132384.122,119750.469,48252.975,25.0,58.333,12,0,"(1, 1, 1)","(0, 1, 1, 12)",-7.774774848612653,0.9746201999951154
6569,醫揚,生技醫療業,12,15.278569990192176,15.163762422693033,9.73525566332116,16.208127006894287,15.279,15.164,9.735,16.208,21568.164,16720.956,2187.167,58.333,75.0,12,0,"(1, 1, 0)","(0, 1, 1, 12)",3.24160736091865,0.7649895001668483
6843,進典,電機機械,12,15.282536528629237,15.72793133997344,16.502587865001335,14.76527078218351,15.283,15.728,16.503,14.765,12692.145,10511.583,-6840.583,75.0,66.667,0,12,,,,0.0279493001289665
